tweets,class
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @robertdadniro: why in the fucking world is taylor the victim here and nicki the bad one? why is taylor swift NOT siding with nicki? ah ¡­",Ham
"RT @andjbest: fact: taylor swift cannot read tweets and assumes everything is about her https://t.co/SFMeW696XY",Ham
"RT @CAVlLLS: I\'ve loved taylor swift since teardrops but I can be critical of her she ain\'t no feminist icon she only speaks up when it\'s a¡­",Ham
"RT @rachelsroths: feminism isnt about putting women against men this just shows how white taylor swift really is",Ham
"RT @delreywifi: at the end of the day taylor swift is mediocre and Nicki\'s verse in Monster was the best thing to ever Hamppen in the indust¡­",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"i wish i was cool and cared abt taylor swift but i just want t o talk abt taye diggs\' arms",Ham
"i jam to taylor swift so often and it\'s so embarrassing because all she does is fuck up and embarrass herself",Ham
"maybe if i close my eyes and this tab taylor swift will delete her tweets and we can pretend like this never Hamppened",Ham
"when will taylor swift acknowledge that their whiteness is an advantage in the music industry lmfao.....",Ham
"RT @musicnews_shade: Taylor Swift unfollowed Nicki Minaj after her rant. http://t.co/Gv394QEyCJ",Ham
"deletes last.fm account and acts like i don\'t have over 4000 plays of taylor swift",Ham
"so many flavors yet u choose salty https://t.co/EntERZMRli",Spam
"RT @BLUEWlNTEROSE: taylor swift is a reminder of why white feminism is dangerous and how she only cares if it\'s affecting her",Ham
"Where are people getting all this shit from taylor swift from????? She literally said she supported and loved Nicki and Nicki said love u 2",Ham
"RT @campornhub: Watch Taylor swift write a song about nicki minaj next",Ham
"i Hamte taylor swift, like i fucking /Hamte/ her",Ham
"RT @noirgaze: i love how taylor swift only brings up feminist issues when it directly benefits her and to deflect from criticism",Ham
"for real when will we all stop pretending that taylor swift is some feminist icon or something lmao",Ham
"cant taylor swift do anything without making it about herself honestly...",Ham
"taylor swift is literally a fucking basic fucking white feminist she does the god damn fucking Least but y\'all wanna Hamil her a queen",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @IWantMoMelanin: Nicki Minaj talking to Taylor Swift trying to get  her to see the point about racism in the industry http://t.co/lB1lqm¡­",Ham
"my mom might let me get taylor swift and fearless for christmas or smthing yay",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"taylor swift I love you but how about you shut up rn",Ham
"why in the fucking world is taylor the victim here and nicki the bad one? why is taylor swift NOT siding with nicki? ah yes WHITE FEMINISM",Ham
"I have liked taylor swift for a long time and I think this thing has been blown way out of proportion but I don\'t understand why she Hamd to",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @ELUSlVES: Nicki minaj gets bashed by the media once again and Taylor swift gets applauded I Hamte everything ...",Ham
"RT @youngsinick: Look at them already trying to make Nicki Minaj the bitter Black bitch caricature, attacking the poor defenseless Taylor S¡­",Ham
"RT @amaraconda: both nicki &taylor make cute music but its the fact that nicki works 2x as Hamrd to get media attention when t swift does th¡­",Ham
"RT @evillerHamg: im fr tired of taylor swift only uplifting WW +when she stars two BW in her video they get 0.08s screen time, LENA DUNHam G¡­",Ham
"RT @ellicellis: 1. Taylor Swift is the perfect example of a typical white feminist, Nicki wasn\'t attacking her personally.",Ham
"RT @localmelon: emma watson and taylor swift are the purest forms of white feminism",Ham
"RT @biIlyaItman: TAYLOR SWIFT hasNT SAID SHIT ABOUT RACISM IN THE MUSIC INDUSTRY BUT SHES SO UPSET ABOUT NICKI pitting women against eacho¡­",Ham
"RT @TheThirdPew: How long has Taylor Swift been MIA on intersectional feminism or have I missed something",Ham
"taylor swift is so overrated and annoying she ain\'t anything special",Ham
"teilor #ask5sosfam  https://t.co/pu7jUn1yc5",Spam
"RT @musicnews_shade: Within less than a year 1989 by Taylor Swift outsold Nicki Minaj\'s whole album discography http://t.co/oFofgNVDy1",Ham
"RT @mileymyobsessed: Miley Cyrus e Nicki Minaj acabam de fundar o clube As odiadas pela Taylor Swift e Katy Perry ¨¦ a presidente",Ham
"RT @mileymyobsessed: VMA com Miley Cyrus, Nicki Minaj e Taylor Swift no mesmo local vai se resumir na terceira guerra mundial, VEM DIA 30 D¡­",Ham
"RT @musicsHamdy_br: Com apenas 8 meses de lan?amento, o album 1989 de Taylor Swift vendeu mais que toda discografia de Nicki Minaj http://t.¡­",Ham
"Taylor Swift and Nicki beefing...oh shit",Ham
"Watch Taylor Swift throw some dudes to the ground like it\'s nobody business http://t.co/wxPgYudbxL",Ham
"so nicki minaj and Taylor swift serious. ??.",Ham
"RT @ohsocarson: Nah, Taylor Swift just thinks she\'s relevant in everyone\'s life... https://t.co/0xYUy7Db4a",Ham
"RT @hrzvrs: Oh my god, oh my god. Be quiet about Taylor swift\'s cry for feminist glory, why are you obsessed with celebrities. Why, why? Wh¡­",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @Hamrmonifollow: RT para Taylor Swift / favorite para katy Perry http://t.co/pvWs9ufhqY",Ham
"pretty pics of me Hamting taylor swift http://t.co/ftiuwt0N3o",Ham
"RT @YouthNetworking: Taylor Swift leads MTV Video Music Awards nominations with 9 - http://t.co/q7n8Bdjeux http://t.co/5ZrYAzCOEV #Entertai¡­",Ham
"Everything Taylor Swift says annoys me so I\'m biased and not putting my opinion",Ham
"My mom was like TC! Taylor Swift! and I\'m 102 degrees crying and sweating on the playroom floor",Ham
"Hey Present Hendrix : Jay_My_G Do u want to get iPh0ne 6 for FREE? U better check my bi0. Thx https://t.co/CuipkDLgRF",Ham
"CAB TOU PELEASE https://t.co/GFUHfPJiQO",Spam
"Hey ;) : O_oKaylaaa Do u want to get iPh0ne 6 for FREE? U better check my bi0. Thx https://t.co/16o83JzePE",Ham
"RT @rihspectme: DJDJDJDJ TF DDKDK https://t.co/sJkRpgdccw",Spam
"RT @vincestaples: Taylor Swift from the country though she probably wrestled a cow before. that would be a good fight.",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @MattBellassai: it sucks that the story is gonna be Nicki Minaj & Taylor Swift Hamd a fight instead of the shit Nicki was talkin abt in¡­",Ham
"RT @CleverlyChloe: Kanye reading Nicki Minaj & Taylor Swift tweets lik ....NICKI TELL ME WHEN! http://t.co/bg1qtlqi1n",Ham
"WHERE TF DID TAYLOR SWIFT COME FROM LMAO",Ham
"*paitiently waits for taylor swift stans to defend her*",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @amymbythesea: I\'d just like to say that I\'m on Twitter tonight to talk about #TheXFiles...not Taylor Swift or Nicki Minaj. Lol! #XFiles¡­",Ham
"RT @liveinlimbo: Taylor Swift calms down rebellious photographers via @masHambale http://t.co/qzkJpQ8MkY",Ham
"someone want to tell me What nicki minaj and taylor swift are tweeting over I cbf trying to find out",Ham
"RT @iSMOKEuCHOKE: Azealia Banks and Nicki Minaj vs Taylor Swift and Iggy Azalea at Wrestlemania",Ham
"RT @LongLiveLucy: This Taylor Swift vs Nicki thing is a pretty easy way for me to weed out my white feminist mutuals and block them if they¡­",Ham
"Taylor Swift Is my pick for http://t.co/8oRiQ5z3eH Fan Army #Swifties http://t.co/1zn1HPbY1E",Ham
"RT @TSwiftNZ: Hilary Duff on Taylor Swift http://t.co/2v7Z12jJe3",Ham
"RT @strategicswift: I feel sorry for artists that are not taylor swift",Ham
"What Hamppened with taylor swift and nicki",Ham
"RT @lexi4prez: Get 1% of the credit Taylor swift and Emma Watson do.",Ham
"Style von Taylor Swift auf http://t.co/Fw79XDTLhC",Ham
"taylor swift noooooo i was just starting to like you :(",Ham
"RT @HeadphoneJones_: Taylor Swift makes music for females who storm out of Panera Bread when the new employee accidentally messes up their ¡­",Ham
"RT @lioneesssssss: Nicki Minaj is black lives matter and Taylor swift is all lives matter",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @JLaCocaina: This Taylor Swift & Nicki Minaj thing is a distraction used to keep us from questioning Frank Ocean\'s whereabouts as far as¡­",Ham
"RT @sadbbyljp: Taylor swift be like: BUT NICKI I SEEN YOU TALKIN SHIT THRU TWITTER????!!!! http://t.co/fmPxXZU9px",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @lexi4prez: Get 1% of the credit Taylor swift and Emma Watson do.",Ham
"RT @thugvatic: If ya\'ll was in Taylor Swift\'s shoes you\'d do the same thing. She detected the shade & she clocked a bitch. Simple. ??",Ham
"Taylor Swift, Katy Perry, & Old Miley ???????? http://t.co/WUYZcx38VP",Ham
"RT @TheWHamleFacts: The difference between wHamles and Taylor Swift is that wHamles make better music.",Ham
"RT @lexi4prez: Get 1% of the credit Taylor swift and Emma Watson do.",Ham
"RT @iMadeSmartCool: Nicki Minaj says Black women influence pop culture & are rarely rewarded for it (TRUE!) & Taylor Swift says stop pittin¡­",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @TheThirdPew: How long has Taylor Swift been MIA on intersectional feminism or have I missed something",Ham
"RT @MattBellassai: I can\'t wait for my first fight with Taylor Swift",Ham
"RT @allytequiero: eu acompanHamndo essa treta nicki minaj vs taylor swift http://t.co/D11RTNYKJd",Ham
"RT @TheYBF: Beyonc¨¦ Busts Up Taylor Swift\'s MTV VMAs 2015 Nomination Takeover + Nicki Minaj, RiHamnna, Big Sean & More Get ... http://t.co/B¡­",Ham
"i feel like taylor swift is only a feminist when its relevant 4 her and helps her out in some way : /",Ham
"I support @NICKIMINAJ over Taylor swift any day. Nicki\'s got class. Taylor\'s just trash.",Ham
"2015 MTV Video Music Awards Nominees Revealed: Taylor Swift, Kendrick Lamar & More http://t.co/hCYK4izQtb  via @billboard #music #news",Ham
"RT @peopleschoice: Taylor Swift\'s Squad Might have Two New Members Soon: http://t.co/zSkvlioixR",Ham
"@jnflesch MIGO RESPONDE RAPIDO NICKI MINAJ OU TAYLOR SWIFT?",Ham
"RT @jaurestewgay: me rn  https://t.co/AJsRfXM0Tm",Spam
"RT @Vii_Lacerda: Taylor Swift x Nicki Minaj tretas do pop http://t.co/VuxSjc2HYW",Ham
"???????? https://t.co/3vsUAL6mh5",Spam
"Cause baby, now we\'ve got bad blood ? (Bad blood, Taylor Swift)",Ham
"RT @uiiBabiih: 2 #MPN #TaylorSwift",Ham
"RT @uiiBabiih: 3 #MPN #TaylorSwift",Ham
"RT @uiiBabiih: 4 #MPN #TaylorSwift",Ham
"RT @uiiBabiih: 6 #MPN #TaylorSwift",Ham
"RT @uiiBabiih: 7 #MPN #TaylorSwift",Ham
"RT @uiiBabiih: 8 #MPN #TaylorSwift",Ham
"RT @uiiBabiih: 9 #MPN #TaylorSwift",Ham
"RT @uiiBabiih: 10 #MPN #TaylorSwift",Ham
"RT @ProjetoDMeFT: UM RT UM VOTO #MPN #TaylorSwift http://t.co/04p21BNBdi",Ham
"RT @billboard: Taylor Swift and Nicki Minaj trade barbs on Twitter over VMA snub: http://t.co/aY3l3MWeNT",Ham
"RT @sailoralien: TAYLOR SWIFT ANNOUNCES NEW SONG: JIBOIA",Ham
"@TekeEfe Nicki minaj vs Taylor swift",Ham
"Mds, at¨¦ a mulher de SVU aparece nesse clipe da Taylor Swift ahiajau",Ham
"RT @maircos: In Brazil we don\'t say Taylor Swift we say Falsiane and I think that\'s beautiful",Ham
"RT @AtlNightSpots: Taylor Swift and Nicki Minaj Trade Shots on Twitter http://t.co/zjALqSARzF",Ham
"RT @metr0vacio: smh https://t.co/Y7PL8BmiV0",Spam
"Foto: taylorswift: A huge thank you to @SamHuntMusic for surprising the crowd with ¡®Take Your Time¡¯. Such a... http://t.co/q5rgzo7813",Ham
"OMG https://t.co/Ui4EqhrWAt",Spam
"RT @billboard: Taylor Swift and Nicki Minaj trade barbs on Twitter over VMA snub: http://t.co/aY3l3MWeNT",Ham
"RT @lexi4prez: Get 1% of the credit Taylor swift and Emma Watson do.",Ham
"RT @b00tyjpeg: yes let\'s use a recent nice pic of Taylor and an older pic of Nicki to paint her as an crazy mad black women  https://t.co/o¡­",Ham
"Ohhhh #NickiMinaj got bit by #KanyeWest  https://t.co/FTyvGguRtx",Ham
"RT @SimplyAlisaa: ???????? @NICKIMINAJ @MTV  https://t.co/dvZ4WxgsRO",Ham
"RT @FashionOvernews: Watch Taylor Swift throw some dudes to the ground like it\'s nobody business http://t.co/okALIhig1I http://t.co/dXu0uBU¡­",Ham
"RT @FashionOvernews: Watch Taylor Swift kick butt in fight training http://t.co/pGp1k0BCGZ http://t.co/4ddlO7j4mn",Ham
"RT @chvseyounger: People who listen to Taylor Swift are irrelevant to me",Ham
"The SHamq-Pippen feud was so good I can\'t even appreciate the Nicky Minaj-Taylor Swift one :( #stepitup",Ham
"RT @drakessocks: taylor swift looks like those white girls in high school that you\'d say hi to and they\'d say I have a boyfriend.",Ham
"Same girl  https://t.co/NXGUEKVZel",Spam
"I used to bake all day and scream Taylor Swift lyrics when I was sad but now I\'ve been crying in bed all day #Whatswrongwithme #sendhelp",Ham
"RT @biIlyaItman: TAYLOR SWIFT hasNT SAID SHIT ABOUT RACISM IN THE MUSIC INDUSTRY BUT SHES SO UPSET ABOUT NICKI pitting women against eacho¡­",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @jnwiedle: rest in peace taylor swift, died acting a fool on twitter",Ham
"RT @itsbereniced: Taylor Swift right now: http://t.co/CxMBkqEplV",Ham
"Taylor swift sit your dumb ass down in your six trillion dollar mansion and shut up",Ham
"RT @lexi4prez: Get 1% of the credit Taylor swift and Emma Watson do.",Ham
"RT @benadryI: Taylor Swift replying to Nicki\'s tweet is the PERFECT example of white girls thinking everything is about them",Ham
"RT @benadryI: Taylor Swift replying to Nicki\'s tweet is the PERFECT example of white girls thinking everything is about them",Ham
"RT @LYLASIRICANDO: MORTA https://t.co/tmi0f2Kmje",Spam
"RT @hoess_swagg52: I\'m not the type to get in anything celebrities got going on but I really don\'t see why Taylor swift came at nicki Minaj¡­",Ham
"RT @TheThirdPew: How long has Taylor Swift been MIA on intersectional feminism or have I missed something",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @CleverlyChloe: Kanye reading Nicki Minaj & Taylor Swift tweets lik ....NICKI TELL ME WHEN! http://t.co/bg1qtlqi1n",Ham
"Taylor Swift is really a weirdo Nicki never shaded her at all...",Ham
"RT @g1: Taylor Swift lidera indica??es ao MTV VMA 2015; veja lista http://t.co/488UMJBA27 #VMAs #G1 http://t.co/RZn0c1hJ8r",Ham
"RT @maircos: In Brazil we don\'t say Taylor Swift we say Falsiane and I think that\'s beautiful",Ham
"RT @ELLEmagazine: UH-OH, Taylor Swift and Nicki Minaj just started a MAJOR twitter feud over the #VMAs. http://t.co/FsysOqeWzX http://t.co/¡­",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"masHamble: Photographers just now declared peace with Taylor Swift over controversy around concert photos. http://t.co/aPYDUylxzA",Ham
"masHamble: This is What photographers for Taylor Swift\'s concerts agree to. http://t.co/p6HJeYI3dP http://t.co/G994UaUWlT",Ham
"masHamble: Taylor Swift actually trained as a fighter for her \'Bad Blood\' video, and there\'s video: ¡­ http://t.co/HdelV5zqjp",Ham
"masHamble: Taylor Swift responds to Nicki Minaj\'s tweet storm about VMAs \'Anaconda\' snub http://t.co/D47MacjTle http://t.co/gwECZkaFrG",Ham
"RT @BlackGirlDanger: Taylor Swift\'s recent tweets are how white women sound 90% of the time.",Ham
"if i win you can come up on the stage with me-- or, the history of white women in one tweet #TaylorSwift",Ham
"RT @BabyxSHamd: Kanye Hamd a life cHamnging convo with Taylor Swift at the Grammys & she\'s been with the shits ever since. Triple salute to T ¡­",Ham
"RT @benadryI: Taylor Swift replying to Nicki\'s tweet is the PERFECT example of white girls thinking everything is about them",Ham
"RT @rxissa: GIRL SOLANGE JUST RETWEETED NICKI. THIS IS NOT YOUR FIGHT ANYMORE QUIT NOW . @taylorswift http://t.co/FKvDzVShrj",Ham
"RT @mendesluvs: how can you ever Hamte Taylor Swift.... https://t.co/JxJSFjbkh1",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @llttledipper: Taylor Swift is only a feminist when it benefits her and her friends. She doesn\'t care about WOC or LGBTQIA+ persons.",Ham
"RT @farwzaz: taylor swift would take a black woman defending herself/calling out misoginoir as pitting women against each other peak whit¡­",Ham
"RT @onlineitachi: taylor swift hasn\'t said a word about any social issue I don\'t know how anyone can see her as a feminist icon",Ham
"RT @musicnews_shade: Using a picture perfect photo of Taylor and an unflattering five year old photo of Nicki¡­the propaganda https://t.co/e¡­",Ham
"RT @AtlNightSpots: Taylor Swift and Nicki Minaj Trade Shots on Twitter http://t.co/zjALqSARzF",Ham
"RT @ayeedxnny: Watching this Nicki Minaj and Taylor Swift beef like http://t.co/z2d5VhP5Eu",Ham
"yikes sucs ass yet again",Spam
"RT @briargilla: taylor swift What the hell cant a person just wake up to see you\'re not being a disappointment",Ham
"RT @philippenis: taylor swift wants to talk about pitting women against each other when the song bad blood was about katy perry",Ham
"when taylor swift is still bein an ignorant child and u gotta delete her stickers on line cos u dont want this bighead bullshit no more",Ham
"taylor swift spending too much time on uwu white feminist blogs (????) respect all girls blogs",Ham
"RT @lexi4prez: Get 1% of the credit Taylor swift and Emma Watson do.",Ham
"RT @gaiusconfect: cant wait for the remix of you belong with me by taylor swift i wears t-shirts she wears short skirts why do we pit wome¡­",Ham
"i don\'t even like taylor swift with her 2% Low Fat Sodium Philadelphia? cream cheese lookin ass ??",Ham
"RT @jennifelopez58: WHEEZINGSLDVMDCDCLG https://t.co/QzvRSrLoKb",Ham
"@PinkiJay wait are we talking about Taylor Swift Duster Cleaner or ;__;",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @sailornegro: Wasn\'t Taylor Swift just scrappin with Steve Jobs via ouija board last week??",Ham
"Taylor Swift is labelled a feminist yet the only rights she will fight for is her own fucking pay raise... wyd",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"Taylor swift will get dragged by Nicki Minaj.",Ham
"RT @hhigh4this: votre taylor swift elle est + qu\'insupportable mon dieu",Ham
"unpopular opinion: taylor swift bugs the shit out of me",Ham
"Taylor Swift is beautiful, she\'s talented, but I just don\'t agree with her views on things. I feel like she uses guys to write songs ??",Ham
"RT @SimplySFans: Taylor Swift for the #LadiesFirst @Keds Campaign 2015 Photoshoot: http://t.co/40ry8DDLmy",Ham
"RT @SimplySFans: Taylor Swift for the #LadiesFirst @Keds Campaign 2015 Photoshoot: http://t.co/aaijGhyhbf",Ham
"The media is fucked up. #nickiminaj #taylorswift",Ham
"RT @hotyblank: Once again overrating taylor swift more and more @NickiMPasties",Ham
"RT @vanderwaalmonas: Taylor Swift: only speaks on issues concerning her https://t.co/9iUBivLvvi",Ham
"RT @Hamrrandtaylor: Who the fuck does Taylor swift think she is? Trying to make money in the business? Ridiculous. Giving money to fans for ¡­",Ham
"RT @GLStecanela: do u remember? @taylorswift13 because we do. https://t.co/lGtjQBETMI",Ham
"RT @Chicago_History: Hope you enjoyed #Chicago @taylorswift13 ~ #ChicagoHistory #TaylorSwift @SoldierField http://t.co/Sfm4jhmvL9",Ham
"RT @Chicago_History: Possibly the busiest Saturday ever in #Chicago ~#BlackHamwksConvention #TaylorSwift #WhiteSox #Pitchfork http://t.co/¡­",Ham
"@MTV you know What you\'re doing is so unfair ....... Nominating Taylor swift in every category just because of bad blood and no moms 4 5sos",Ham
"RT @PopCultureshade: Nicki Minaj to Taylor Swift like: http://t.co/n7FOC9OZ9S",Ham
"RT @mikestrypes: When you see 2 rich people Nicki Minaj and Taylor Swift fighting for awards and your broke with no talent http://t.co/3LTP¡­",Ham
"Yo is Nicki throwing shade at Taylor Swift ??",Ham
"RT @llttledipper: Taylor Swift is only a feminist when it benefits her and her friends. She doesn\'t care about WOC or LGBTQIA+ persons.",Ham
"Photographers and Taylor Swift make nice over photo contract revisions http://t.co/TtEcKQrRaH",Ham
"Watch Taylor Swift throw some dudes to the ground like it\'s nobody business http://t.co/Stg7iMgkJ9",Ham
"RT @ConstituyenteTW: Taylor Swift encabeza la lista de los Premios MTV Video Music Awards 2015 #VMAs http://t.co/vaH5x2xzhh http://t.co/owI¡­",Ham
"lmao",Spam
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @lexi4prez: Get 1% of the credit Taylor swift and Emma Watson do.",Ham
"RT @wtvrjafar: taylor swift is a WHITE FEMINIST and that\'s all she fuckin represents ,nicki made a Valid Point in What she was sayin",Ham
"RT @NICKIMINAJ: Dear Black Radio , wen u do ur morning show tmrw, let the community know that taylor swift is #1 and nicki minaj is #2...",Ham
"RT @BlackBaddies: Taylor Swift basically accused herself because literally no one was talking to or about her",Ham
"RT @duhgreatone: I like nicki but i love taylor swift",Ham
"RT @maircos: In Brazil we don\'t say Taylor Swift we say Falsiane and I think that\'s beautiful",Ham
"OMG ?? https://t.co/PN3PGKJYBo",Spam
"GRITANOOOKAKKAKAKKA https://t.co/JA9SqXZdJ8",Spam
"RT @musicnews_shade: Within less than a year 1989 by Taylor Swift outsold Nicki Minaj\'s whole album discography http://t.co/oFofgNVDy1",Ham
"Even if it ends badly, it\'s worth it. If it made you feel something, it taught you something. --Taylor Swift",Ham
"?????????????????? https://t.co/XuCARuljXy",Spam
"Nicki throwin shade at Taylor swift ????",Ham
"RT @billboard: Taylor Swift and Nicki Minaj trade barbs on Twitter over VMA snub: http://t.co/aY3l3MWeNT",Ham
"SOCORRO COM ESSE NICKI MINAJ X TAYLOR SWIFT X VMA",Ham
"RT @GLStecanela: do u remember? @taylorswift13 because we do. https://t.co/lGtjQBETMI",Ham
"JESUS COMO A TAYLOR SWIFT ? INSUPORT?VEL. https://t.co/NecEnPUmwb",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @lexi4prez: Get 1% of the credit Taylor swift and Emma Watson do.",Ham
"RT @speaknowzz: ESSA FOTO ? PERFEITA #MPN #TaylorSwift http://t.co/o8WEuVPYdu",Ham
"RT @5HWorldCom: Vevo Certifies Five More, Including Fifth Hamrmony, Eminem, Taylor Swift http://t.co/otJiDIUHmw via @AllAccess",Ham
"PQP VOU MORRER   https://t.co/bdT3gn6q8j",Spam
"TRETA TRETA DAS GRANDES https://t.co/WOoKR48EMa",Spam
"RT @dumas1000: Taylor Swift\'s Bad Blood music video - ft. Zendaya as Cut-Throat -has surpassed 350 million views on Vevo! ???? http://t.co/¡­",Ham
"RT @AcousticNash: NICKI MINAJ & TAYLOR SWIFT TWITTER BEEF GOT ME LIKE http://t.co/SfuhJR2DHW",Ham
"RT @illumigomez: nicki minaj wasn¡¯t even specifically talking about taylor swift¡¯s video but if the shoe fits¡­¡­",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @httprepon: taylor swift\'s tweets to nicki minaj are something piper cHampman would say",Ham
"RT @beystalHamda: taylor swift falsiane",Ham
"RT @cucetapologetic: POR ONDE ANDA A TAYLOR SWIFT DEPOIS DAS PISADAS DA NICKI MINAJ????? UM BEIJO TAYLOR SWIFT",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @sadbutsaturno: taylor swift cries in hipocrisia language",Ham
"RT @sadbutsaturno: taylor swift announces her new song: your anaconda put women against each other",Ham
"RT @brotherpastel: rt @BuzzFeed 22 Moments where Taylor Swift has Done Nothing But Love and Support Nicki Minaj",Ham
"RT @sailoralien: TAYLOR SWIFT ANNOUNCES NEW SONG: JIBOIA",Ham
"RT @maircos: In Brazil we don\'t say Taylor Swift we say Falsiane and I think that\'s beautiful",Ham
"RT and visit for a cHamnce to win FREE tickets to One Direction, Justin Bieber, Lady Gaga, OR Taylor Swift!",Ham
"??????????Taylor Swift scared as shit https://t.co/caXXxA6s8f",Ham
"I quite literally can\'t hear Taylor Swift\'s Bad Blood without hearing @markiplier repeating the lyrics. #earworm?",Ham
"ive never loved taylor swift more than i do at this current moment",Ham
"RT @NICKIMINAJ: Taylor Swift is giving me EVERYTHING w/this performance right now! Barbz, how f\'ing cute is she???????",Ham
"RT @BuzzFeedCeleb: Nicki Minaj and Taylor Swift are Hamving it out on Twitter over the VMAs http://t.co/vhwwixI0j8 http://t.co/yHc6fdrhKr",Ham
"Taylor swift cmon",Ham
"RT @lioneesssssss: Nicki Minaj is black lives matter and Taylor swift is all lives matter",Ham
"RT @6GODMANI: when you realize Kanye tried to warn us all about Taylor Swift back in 2009 but all we did was make him look bad http://t.co/¡­",Ham
"RT @IWantMoMelanin: Nicki Minaj talking to Taylor Swift trying to get  her to see the point about racism in the industry http://t.co/lB1lqm¡­",Ham
"Still at work. Im so tired but im fine. Im listening and looking to taylorswift http://t.co/qiSIhul90p",Ham
"Photo: Taylor Swift in the Ladies First campaign for Keds http://t.co/bFu1SxHoj6",Ham
"Photoset: taylor swift // keds 2015 http://t.co/3I2JDl8Fv0",Ham
"Photoset: Taylor Swift stars in Keds¡¯ new Ladies First¡± campaign http://t.co/AYsWMK2zFG",Ham
"Photoset: Taylor Swift stars in Keds¡¯ new Ladies First¡± campaign http://t.co/r0bwoqSQYQ",Ham
"Photo: queennatvanlis: taylorswift just signed your dashboard http://t.co/qrRXoBEbub",Ham
"Photo: swiftiestevie13: To all the guys Taylor has dated! taylorswift (Not my edit found it) http://t.co/018CQHQDpb",Ham
"Photoset: screamingcryingperfectstorms13: YES TAY YESS YAS WHamLE taylorswift http://t.co/rr2qsmxK0O",Ham
"Beyonce lets Taylor finish her speech - taylorswift look at katy perry there OH MY GOD http://t.co/A9jKaxrTtj",Ham
"Photoset: Taylor Swift + instagram taylorswift http://t.co/UzRNemn0rI",Ham
"Photoset: Taylor Swift stars in Keds¡¯ new Ladies First¡± campaign wefoundkittyland just trying if these is... http://t.co/81skKkT0tt",Ham
"Photo: Taylor Swift in the Ladies First campaign for Keds wefoundkittyland http://t.co/0RHQtLXmKj",Ham
